m,pct_to_1,pct_to_minus1,pct_no_converge,transition_point,dist_to_1,dist_to_minus1,ratio_dist,max_iterations,time_seconds
61,0.0,1.1566162109375,98.8433837890625,-0.967748387419371,1.967748387419371,0.03225161258062903,61.0124031007752,100,28.685367345809937
62,0.0,1.139068603515625,98.86093139648438,-0.968248412420621,1.968248412420621,0.031751587579379015,61.98897637795267,100,28.530359029769897
63,0.0,1.123809814453125,98.87619018554688,-0.9687484374218711,1.9687484374218711,0.03125156257812889,62.996800000000036,100,30.77237319946289
64,0.0,1.1051177978515625,98.89488220214844,-0.9692484624231211,1.969248462423121,0.030751537576878873,64.03739837398368,100,29.176134824752808
65,0.0,1.090240478515625,98.90975952148438,-0.9697484874243713,1.9697484874243711,0.030251512575628747,65.11239669421495,100,26.246572494506836
66,0.0,1.0730743408203125,98.92692565917969,-0.9701485074253713,1.9701485074253713,0.029851492574628713,65.99832495812399,100,26.64119839668274
67,0.0,1.0585784912109375,98.94142150878906,-0.9706485324266213,1.9706485324266212,0.029351467573378698,67.13969335604763,100,28.618999481201172
68,0.0,1.0433197021484375,98.95668029785156,-0.9710485524276213,1.9710485524276213,0.028951447572378664,68.08117443868728,100,27.211766719818115
69,0.0,1.0297775268554688,98.97022247314453,-0.9714485724286215,1.9714485724286215,0.028551427571378518,69.04903677758331,100,31.280398845672607
70,0.0,1.0160446166992188,98.98395538330078,-0.9718485924296215,1.9718485924296214,0.028151407570378484,70.0444049733571,100,28.44872808456421
71,0.0,1.003265380859375,98.99673461914062,-0.9722486124306216,1.9722486124306216,0.02775138756937845,71.06846846846852,100,28.722562074661255
72,0.0,0.9891510009765625,99.01084899902344,-0.9726486324316216,1.9726486324316217,0.027351367568378415,72.12248628884828,100,30.3223397731781
73,0.0,0.9763717651367188,99.02362823486328,-0.9730486524326216,1.9730486524326216,0.02695134756737838,73.20779220779218,100,30.551471948623657
74,0.0,0.9637832641601562,99.03621673583984,-0.9733486674333717,1.9733486674333718,0.026651332566628327,74.04315196998125,100,28.3731427192688
75,0.0,0.9502410888671875,99.04975891113281,-0.9737486874343717,1.9737486874343717,0.026251312565628293,75.18666666666664,100,31.117440700531006
76,0.0,0.9382247924804688,99.06177520751953,-0.9740487024351218,1.9740487024351219,0.02595129756487824,76.06743737957612,100,29.88757038116455
77,0.0,0.926971435546875,99.07302856445312,-0.9743487174358718,1.9743487174358718,0.025651282564128186,76.9688109161794,100,31.227884769439697
78,0.0,0.9153366088867188,99.08466339111328,-0.9747487374368718,1.974748737436872,0.025251262563128152,78.20396039603962,100,27.898250579833984
79,0.0,0.9044647216796875,99.09553527832031,-0.9750487524376219,1.975048752437622,0.0249512475623781,79.15631262525056,100,30.9767427444458
80,0.0,0.8953094482421875,99.10469055175781,-0.975348767438372,1.9753487674383718,0.024651232561628045,80.13184584178511,100,29.07128119468689
81,0.0,0.8825302124023438,99.11746978759766,-0.975648782439122,1.975648782439122,0.02435121756087799,81.13141683778252,100,29.06907367706299
82,0.0,0.875091552734375,99.12490844726562,-0.975948797439872,1.975948797439872,0.02405120256012805,82.155925155925,100,28.716465711593628
83,0.0,0.862884521484375,99.13711547851562,-0.976248812440622,1.976248812440622,0.023751187559377995,83.20631578947359,100,29.148786306381226
84,0.0,0.8520126342773438,99.14798736572266,-0.9765488274413721,1.976548827441372,0.023451172558627942,84.2835820895522,100,27.516850233078003
85,0.0,0.841522216796875,99.15847778320312,-0.9767488374418721,1.976748837441872,0.02325116255812787,85.0172043010754,100,30.01879119873047
86,0.0,0.8335113525390625,99.16648864746094,-0.9770488524426222,1.9770488524426222,0.022951147557377816,86.14161220043593,100,30.358635902404785
87,0.0,0.8251190185546875,99.17488098144531,-0.9773488674433721,1.9773488674433721,0.022651132556627873,87.29580573951418,100,28.673604249954224
88,0.0,0.8152008056640625,99.18479919433594,-0.9775488774438722,1.9775488774438723,0.0224511225561278,88.08240534521161,100,29.554965257644653
89,0.0,0.8058547973632812,99.19414520263672,-0.9778488924446223,1.9778488924446223,0.022151107555377747,89.28893905191883,100,27.19801902770996
90,0.0,0.797271728515625,99.20272827148438,-0.9780489024451222,1.9780489024451222,0.021951097554877785,90.11161731207272,100,31.952903509140015
91,0.0,0.789642333984375,99.21035766601562,-0.9782489124456223,1.9782489124456224,0.021751087554377713,90.94942528735635,100,29.22636342048645
92,0.0,0.77972412109375,99.22027587890625,-0.9785489274463723,1.9785489274463723,0.02145107255362766,92.23543123543134,100,29.789605617523193
93,0.0,0.7732391357421875,99.22676086425781,-0.9787489374468723,1.9787489374468723,0.021251062553127698,93.1129411764704,100,30.542267322540283
94,0.0,0.7650375366210938,99.2349624633789,-0.9789489474473724,1.9789489474473725,0.021051052552627625,94.00712589073638,100,31.181568384170532
95,0.0,0.7585525512695312,99.24144744873047,-0.9792489624481224,1.9792489624481224,0.02075103755187757,95.38072289156636,100,28.980175256729126
96,0.0,0.749969482421875,99.25003051757812,-0.9794489724486224,1.9794489724486224,0.02055102755137761,96.31873479318716,100,31.876952171325684
97,0.0,0.7419586181640625,99.25804138183594,-0.9796489824491225,1.9796489824491226,0.020351017550877537,97.27518427518432,100,28.0541570186615
98,0.0,0.7349014282226562,99.26509857177734,-0.9798489924496225,1.9798489924496225,0.020151007550377464,98.25062034739481,100,28.300236701965332
99,0.0,0.7272720336914062,99.2727279663086,-0.9800490024501225,1.9800490024501225,0.019950997549877503,99.24561403508767,100,29.111440658569336
100,0.0,0.7204055786132812,99.27959442138672,-0.9802490124506226,1.9802490124506225,0.01975098754937743,100.26075949367107,100,30.781908750534058
